hollywoodFilms,Genre,rottenTomatoesRatings%,audienceRatings,budget
I Love You Phillip Morris,Comedy,0.71,0.57,15
I Love You Man,Comedy,0.83,0.72,40
I Now Pronounce You Chuck and Larry,Comedy,0.13,0.73,85
Im Still Here,Comedy,0.52,0.38,2
Imagine That,Comedy,0.38,0.44,55
Immortals,Action,0.36,0.59,75
In the Land of Women,Comedy,0.43,0.72,10
In Time,Thriller,0.38,0.55,40
Inception,Action,0.86,0.93,160
Indiana Jones and the Kingdom of the Crystal Skull,Action,0.77,0.59,185
Inglourious Basterds,Adventure,0.88,0.87,70
Inkheart,Adventure,0.39,0.51,60
Insidious,Horror,0.67,0.65,2
Into the Wild,Drama,0.82,0.9,15
Iron Man,Action,0.94,0.91,186
Iron Man 2,Action,0.74,0.8,200
Its Complicated,Comedy,0.56,0.63,85
J.Edgar,Drama,0.42,0.84,35
Jack and Jill,Comedy,0.04,0.59,79
Jane Eyre,Romance,0.85,0.77,2
Jennifer's Body,Comedy,0.42,0.37,16
Johnny English Reborn,Comedy,0.38,0.55,45
Jonah Hex,Action,0.13,0.24,47
Journey to the Center of the Earth,Action,0.61,0.55,45
Jumper,Action,0.16,0.5,83
Juno,Comedy,0.94,0.89,8
Just Go With It,Romance,0.19,0.63,80
Just Wright,Comedy,0.45,0.58,12
Kick-Ass,Action,0.76,0.83,30
Killer Elite,Action,0.25,0.48,70
Killers,Action,0.11,0.45,75
Kit Kittredge: An American Girl,Drama,0.78,0.26,10
Knight and Day,Action,0.53,0.52,117
Knocked Up,Comedy,0.91,0.83,33
Knowing,Drama,0.33,0.5,50
Land of the Lost,Drama,0.26,0.38,100
Larry Crowne,Drama,0.34,0.46,30
Leap Year,Comedy,0.21,0.49,19
Leatherheads,Comedy,0.52,0.41,58
Legion,Action,0.19,0.36,26
Letters to Juliet,Comedy,0.4,0.62,30
License to Wed,Comedy,0.08,0.55,35
Life as We Know It,Comedy,0.28,0.62,38
Limitless,Thriller,0.69,0.73,27
Lions for Lambs,Drama,0.27,0.48,35
Little Fockers,Comedy,0.09,0.4,100
Live Free or Die Hard,Action,0.79,0.86,110
Love & Other Drugs,Comedy,0.48,0.55,30
